factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope,spf_kabco,af_lane_width,af_shld,af_hor_curve,af_se_var,af_grade,af_dwy_density,af_rumble_cl,af_passing_lanes,af_twltl,af_rhr,af_lighting,af_ase,af_total,pred_kabco,exp_kabco,spf_kabc,spf_kab,spf_o,af_sideslope,af_median_width
rtl_seg,23,0.31,3210,5.0,3,5,1.0,12,composite,8.0,3096.282938,0.310911247,0.0,0.06,3,0,0,0,0,0,9.649055879,1.5,0,8,0.26586410884009776,1.0,0.9553428,1.0539064008829315,1.18,1.0,1.1209506361882036,1.0,1.0,1.0,1.0,1.0,1.0,1.331771670010116,1.7703514411286414,2.476244142137685,,,,,
rtl_seg,34,0.12,2924,5.0,3,5,1.0,12,composite,8.0,2012.106292,0.117242408,0.0,0.06,3,0,0,0,0,0,0.0,1.5,0,8,0.09374575269803387,1.0,0.9553428,1.219334536533802,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3745613149173075,0.6442964254826109,1.9609251316602152,,,,,
rtl_seg,72,0.25,366,5.0,3,5,1.0,12,composite,5.0,2074.422627,0.251788199,0.5,0.06,2,0,0,0,0,0,3.97159201,4.5,0,8,0.024446353089005068,1.0,1.0290444,1.0842873806767688,1.18,1.1,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.3546975269886228,0.16558707036782921,0.5487519367206505,,,,,
rtl_seg,91,0.26,5956,5.0,3,5,1.0,12,composite,5.0,3516.896278,0.259939429,0.0,0.06,2,0,0,0,0,0,0.0,1.5,0,8,0.41373382010393106,1.0,1.1059029999999999,1.056599285586815,1.18,1.0,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.2897290581865086,2.668022650712747,2.9029800638140033,,,,,
rtl_seg,131,0.24,810,5.0,0,5,1.0,12,composite,7.0,1625.088621,0.236974229,0.0,0.06,3,0,0,0,0,0,4.219868136,1.5,0,8,0.05193848131696815,1.0,1.02296,1.1343583004989863,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.3692757371525628,0.3555905114593808,0.26346595203405665,,,,,
rtl_seg,144,0.12,810,5.0,0,5,1.0,12,composite,7.0,2715.039478,0.117381251,0.0,0.06,3,0,0,0,0,0,34.07699239,1.5,0,8,0.025969240658484074,1.0,1.02296,1.1623557923662726,1.18,1.0,2.1869308940628964,1.0,1.0,1.0,1.0,1.0,1.0,3.06841999004636,0.39842268581408613,0.22338561909463214,,,,,
rtl_seg,171,0.13,1000,5.0,1,5,1.0,12,composite,5.0,769.0813906,0.128618227,0.0,0.06,2,0,0,0,0,0,0.0,1.5,0,8,0.034732523514433435,1.0,1.0578663750000001,1.523079679148631,1.18,1.0,1.0,1.0,1.0,1.0,0.9353822590821951,1.0,1.0,1.7783800294391172,0.3088381309504648,0.5571348834581691,,,,,
rtl_seg,173,0.22,2410,5.0,1,5,1.0,12,composite,6.0,6327.985831,0.223629866,0.0,0.06,3,0,0,0,0,0,4.47167464,1.5,0,8,0.14165526128732778,1.0,1.02296,1.0371667418538784,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2519565064912754,0.8867311302369585,0.9419497386022113,,,,,
rtl_seg,229,0.25,1270,5.0,1,5,1.0,12,composite,6.0,2057.263898,0.248184795,0.0,0.06,3,0,0,0,0,0,0.0,1.5,0,8,0.08482750935255857,1.0,1.02296,1.1013392052908086,1.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.329418625064257,0.563856354255519,0.7153630326440242,,,,,
rtl_seg,337,0.26,1860,5.0,2,5,1.0,12,composite,8.0,3387.50014,0.256394807,0.0,0.06,3,0,0,0,0,0,7.800470013,1.5,0,8,0.12920498747369238,1.0,0.961199035,1.0595736381949974,1.18,1.0,1.0901769457785682,1.0,1.0,1.0,1.0,1.0,1.0,1.3101573927550134,0.846394347597385,1.3476061360760607,,,,,
