factype,id,length,aadt,num_years,obs_kabco,obs_years,cf_total,lane_width,shld_type,shld_width,curve_radius,curve_length,spiral_transition,se_var,rhr,rumble_cl,twltl,ase,passing_lanes,lighting,dwy_density,grade,median_width,sideslope
rtl_seg,23,0.31,3210,5,3,5,1,12,composite,8,3096.282938,0.310911247,0,0.06,3,0,0,0,0,0,9.649055879,1.5,0,8
rtl_seg,34,0.12,2924,5,3,5,1,12,composite,8,2012.106292,0.117242408,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,72,0.25,366,5,3,5,1,12,composite,5,2074.422627,0.251788199,0.5,0.06,2,0,0,0,0,0,3.97159201,4.5,0,8
rtl_seg,91,0.26,5956,5,3,5,1,12,composite,5,3516.896278,0.259939429,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,131,0.24,810,5,0,5,1,12,composite,7,1625.088621,0.236974229,0,0.06,3,0,0,0,0,0,4.219868136,1.5,0,8
rtl_seg,144,0.12,810,5,0,5,1,12,composite,7,2715.039478,0.117381251,0,0.06,3,0,0,0,0,0,34.07699239,1.5,0,8
rtl_seg,171,0.13,1000,5,1,5,1,12,composite,5,769.0813906,0.128618227,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,173,0.22,2410,5,1,5,1,12,composite,6,6327.985831,0.223629866,0,0.06,3,0,0,0,0,0,4.47167464,1.5,0,8
rtl_seg,229,0.25,1270,5,1,5,1,12,composite,6,2057.263898,0.248184795,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,337,0.26,1860,5,2,5,1,12,composite,8,3387.50014,0.256394807,0,0.06,3,0,0,0,0,0,7.800470013,1.5,0,8
rtl_seg,338,0.22,1860,5,1,5,1,12,composite,8,3299.245464,0.224951313,0,0.06,3,0,0,0,0,0,8.890812734,1.5,0,8
rtl_seg,344,0.11,1490,5,1,5,1,12,composite,8,1595.104999,0.108691755,0,0.06,3,0,0,0,0,0,18.40065971,1.5,0,8
rtl_seg,387,0.11,772,5,1,5,1,12,composite,6,661.41406,0.112538993,0,0.06,3,0,0,0,0,0,8.885809052,1.5,0,8
rtl_seg,399,0.3,1340,5,4,5,1,12,composite,7,3048.497495,0.296616369,0,0.06,3,0,0,0,0,0,0,1.5,0,8
rtl_seg,668,0.13,1210,5,0,5,1,12,gravel,3,619.8490772,0.126278174,0,0.06,2,0,0,0,0,0,7.919024895,1.5,0,8
rtl_seg,687,0.24,2010,5,1,5,1,12,composite,6.5,1222.74608,0.244945367,0,0.06,3,0,0,0,0,0,4.082543023,1.5,0,8
rtl_seg,688,0.23,2010,5,2,5,1,12,composite,6.5,1342.454087,0.227020586,0,0.06,2,0,0,0,0,0,8.80977376,1.5,0,8
rtl_seg,696,0.22,1960,5,1,5,1,12,composite,8,2509.950933,0.22401101,0,0.06,2,0,0,0,0,0,4.464066305,1.5,0,8
rtl_seg,708,0.13,2260,5,1,5,1,12,gravel,5,1547.017785,0.127900615,0,0.06,4,0,0,0,0,1,7.818570709,4.5,0,8
rtl_seg,728,0.1,2100,5,1,5,1,12,gravel,6,1179.783476,0.103769406,0,0.06,2,0,0,0,0,0,0,4.5,0,8
rtl_seg,731,0.11,2100,5,0,5,1,12,gravel,6,1602.39838,0.1064675,0,0.06,2,0,0,0,0,0,0,4.5,0,8
rtl_seg,745,0.31,2100,5,1,5,1,12,gravel,6,3586.351805,0.311578708,0,0.06,5,0,0,0,0,0,0,4.5,0,8
rtl_seg,766,0.13,3600,5,1,5,1,12,gravel,4,1175.833412,0.131819725,0,0.06,2,0,0,0,0,0,0,1.5,0,8
rtl_seg,799,0.18,1910,5,2,5,1,12,gravel,7,1112.457371,0.175679274,0,0.06,4,0,0,0,0,0,0,1.5,0,8
