,k,a,b,c,o,kabc,kabco
anm,0.000494,0.002052,0.004142,0.00551,0.124936,0.012198,0.137134
pdc,0.000052,0.000216,0.000436,0.00058,0.000679,0.001284,0.001963
ped,0.000091,0.000378,0.000763,0.001015,0.000679,0.002247,0.002926
ovt,0.000481,0.001998,0.004033,0.005365,0.010185,0.011877,0.022062
ror,0.007085,0.02943,0.059405,0.079025,0.342895,0.174945,0.51784
osv,0.000091,0.000378,0.000763,0.001015,0.019691,0.002247,0.021938
sv,0.008294,0.034452,0.069542,0.09251,0.499065,0.204798,0.703863
ang,0.0013,0.0054,0.0109,0.0145,0.048888,0.0321,0.080988
ho,0.000442,0.001836,0.003706,0.00493,0.002037,0.010914,0.012951
re,0.002132,0.008856,0.017876,0.02378,0.082838,0.052644,0.135482
ss,0.000494,0.002052,0.004142,0.00551,0.025802,0.012198,0.038
omv,0.000338,0.001404,0.002834,0.00377,0.02037,0.008346,0.028716
mv,0.004706,0.019548,0.039458,0.05249,0.179935,0.116202,0.296137
all,0.013,0.054,0.109,0.145,0.679,0.321,1
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
